firstname,lastname,email,school_id
Merri,Waelchi,MerriWaelchi@yahoo.com,1
Kathe,Block,KatheBlock@yahoo.com,1
Titus,Stamm,TitusStamm@yahoo.com,1
Ona,Dicki,OnaDicki@yahoo.com,2
Teodoro,Cummerata,TeodoroCummerata@yahoo.com,2
Wade,Williamson,WadeWilliamson@yahoo.com,2
Vonda,Kris,VondaKris@yahoo.com,3
Blaine,Pouros,BlainePouros@yahoo.com,3
Cherise,Rempel,CheriseRempel@yahoo.com,3
Benton,Wiza,BentonWiza@yahoo.com,3
Jerold,Murphy,JeroldMurphy@yahoo.com,3
Alecia,Borer,AleciaBorer@yahoo.com,4
Bobbi,Hartmann,BobbiHartmann@yahoo.com,4
Jennie,Luettgen,JennieLuettgen@yahoo.com,4
Jamar,Brown,JamarBrown@yahoo.com,5
Bethel,Schamberger,BethelSchamberger@yahoo.com,5
Lottie,Abshire,LottieAbshire@yahoo.com,5
Eldridge,Raynor,EldridgeRaynor@yahoo.com,6
Cindi,Doyle,CindiDoyle@yahoo.com,6
Anibal,Bahringer,AnibalBahringer@yahoo.com,6
Dagny,Torp,DagnyTorp@yahoo.com,7
Carmela,Klein,CarmelaKlein@yahoo.com,7
Karl,Kuhic,KarlKuhic@yahoo.com,8
Jerome,Feeney,JeromeFeeney@yahoo.com,9
Roxy,Langosh,RoxyLangosh@yahoo.com,9
Teri,Thiel,TeriThiel@yahoo.com,10
Laila,Crona,LailaCrona@yahoo.com,10
Brady,Vandervort,BradyVandervort@yahoo.com,10
Dexter,Bashirian,DexterBashirian@yahoo.com,10
Jamaal,Stroman,JamaalStroman@yahoo.com,10
Myong,Kuhlman,MyongKuhlman@yahoo.com,11
Chong,Sanford,ChongSanford@yahoo.com,11
Cory,Batz,CoryBatz@yahoo.com,11
Edgardo,Marks,EdgardoMarks@yahoo.com,11
Dania,Trantow,DaniaTrantow@yahoo.com,12
Sondra,Schroeder,SondraSchroeder@yahoo.com,12
Tawana,Huel,TawanaHuel@yahoo.com,12
Sylvester,Walker,SylvesterWalker@yahoo.com,13
Caren,Haley,CarenHaley@yahoo.com,13
Davida,Reilly,DavidaReilly@yahoo.com,13
Clark,Medhurst,ClarkMedhurst@yahoo.com,14
Shawnee,O'Kon,ShawneeO'Kon@yahoo.com,14
Garth,Romaguera,GarthRomaguera@yahoo.com,14
Rebbeca,Dickinson,RebbecaDickinson@yahoo.com,14
Lala,Cartwright,LalaCartwright@yahoo.com,15
Marquerite,Huels,MarqueriteHuels@yahoo.com,15
Crystal,Hegmann,CrystalHegmann@yahoo.com,15
Isaiah,Wiegand,IsaiahWiegand@yahoo.com,16
Billie,Cremin,BillieCremin@yahoo.com,16
Azalee,Renner,AzaleeRenner@yahoo.com,16
Sona,Marquardt,SonaMarquardt@yahoo.com,16
Christoper,Kilback,ChristoperKilback@yahoo.com,17
Felica,Wuckert,FelicaWuckert@yahoo.com,17
Homer,Donnelly,HomerDonnelly@yahoo.com,17
Maryjo,Olson,MaryjoOlson@yahoo.com,17
Xavier,Larson,XavierLarson@yahoo.com,17
Aaron,Lubowitz,AaronLubowitz@yahoo.com,18
Vallie,Grimes,VallieGrimes@yahoo.com,18
Mirna,Kassulke,MirnaKassulke@yahoo.com,18
Jacques,Howe,JacquesHowe@yahoo.com,19
Loretta,Hand,LorettaHand@yahoo.com,19
Santiago,Watsica,SantiagoWatsica@yahoo.com,19
Chantal,Swift,ChantalSwift@yahoo.com,19
